chapter,slug,openstax_pdf,chemillusion_source,chemillusion_source_sha256,chemillusion_available
11,alkyl-halide-substitution-and-elimination,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alkyl-halide-substitution-and-elimination.json,055ad446f0adf26c0352ba6fb4df3838f5b1cabfe5c70f0640d8bcade606718d,True
12,mass-spectrometry-and-infrared-spectroscopy,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/mass-spectrometry-and-infrared-spectroscopy.json,373a4a6133bb8f1a5f8931d7def350c7ffff6bb5768daadc26f9d243f7c4ff74,True
13,nuclear-magnetic-resonance-spectroscopy,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/nuclear-magnetic-resonance-spectroscopy.json,594b60c0a858b3938cb892e048d20adff4aff1d796b6a6f8af56d368aa65e673,True
14,conjugated-compounds-and-ultraviolet-spectroscopy,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/conjugated-compounds-and-ultraviolet-spectroscopy.json,f28d6b459f176add1b981890520d07b6840805c998a2854892be13ebf3b0f8a5,True
15,benzene-and-aromaticity,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/benzene-and-aromaticity.json,d2ebae0978936269006d42f8843241419e0bf3b0067701bf8c53709ff938666a,True
16,electrophilic-aromatic-substitution,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/electrophilic-aromatic-substitution.json,4f03b374a190950d0050df4d4c28b638247d9533d7acaff97204751d27e0c04e,True
17,alcohols-and-phenols,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alcohols-and-phenols.json,e49fb976b100747d54073af531f9fc5fcf5b93da15cf7edbd7fd4107137b8840,True
18,ethers-epoxides-thiols-and-sulfides,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/ethers-epoxides-thiols-and-sulfides.json,c1b4979a7ba54188e56fb25908b41062a84f353079893e63257951ea2217804d,True
19,aldehydes-and-ketones,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/aldehydes-and-ketones.json,f2e5dc12652ae0f3d71cceac5a01fc4b4d6b4cabb51f7a342f993e172d312006,True
20,carboxylic-acids-and-nitriles,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/carboxylic-acids-and-nitriles.json,75633f1cd56444c11040b7338b56f25d8df99dbbd64dc850c8b9b76f4107137c,True
21,carboxylic-acid-derivatives,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/carboxylic-acid-derivatives.json,0fbfc9d16ea6b286afea59385cbdcca5852deb98fab43e38ae8d67deae95b06f,True
22,carbonyl-alpha-substitution,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/carbonyl-alpha-substitution.json,3dfc812a53c2cad0e556a9b87b1d2b2f66d9cceff79dd5fdf51cd93196c9ffeb,True
23,carbonyl-condensation,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/carbonyl-condensation.json,1c02e239fe849c1cc697f7fdd32c4085b145f9cf8f9406e30be183303b0e117e,True
24,amines-and-heterocycles,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/amines-and-heterocycles.json,8edc3df08a98b6491697dd899f0bf1eeb7b28a004940696fcbc72abd1e5be1c5,True
25,biomolecules-carbohydrates,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/biomolecules-carbohydrates.json,d0877dea6856bce36edef05e5f9db8804199ae4c15f2a71fc409233e6e2fb8d1,True
26,biomolecules-amino-acids-peptides-and-proteins,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/biomolecules-amino-acids-peptides-and-proteins.json,e09f60711e4ad1c991392b788e4b2cbe2d61af977101a21efa1bf49a8f928f0d,True
27,biomolecules-lipids,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/biomolecules-lipids.json,e29e056c7817a349c1d6c1764635e830b0a9c0192801c9bf704d5ed239809fb1,True
28,biomolecules-nucleic-acids,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/biomolecules-nucleic-acids.json,3cc4775ff1eed716143be4b85a1998045069618bed1b7b9b8f949195ed8b0128,True
29,organic-chemistry-of-metabolic-pathways,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/organic-chemistry-of-metabolic-pathways.json,e3707e8e8fd5dab85b1e61b8623fe62c0b5e6bba9e6c1a48f27416bd55d03c0b,True
30,orbitals-and-pericyclic-reactions,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/orbitals-and-pericyclic-reactions.json,eadfb9ec08dc5c830995988fd918ad1b1d067d2849b74089b62e4cd461b6bfa6,True
31,synthetic-polymers,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/synthetic-polymers.json,810da8bbcd7d1169adde618fdcd16f2150564b83be06f729a64e70fe593a8019,True
